,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
marinade wood ear mushrooms,2 tbsp dried wood ear mushrooms,1 small section of carrot,1 small bunch of coriander,2 little red peppers,1 tsp salt,2 tsp light soy sauce,2 tsp sesame oil,3 tsp vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honey garlic chicken wings glazed version,8 ~10 chicken wings,2 tablespoons honey,½ tablespoon warm water,1 tablespoon oyster sauce,½ tablespoon vegetable oil,1 teaspoon salt,1 tablespoon light soy sauce,"6 garlic cloves, finely chopped",2 teaspoons black pepper powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy garlic ribs braised version,16 oz. ribs,1 tablespoon doubanjiang or other chili bean paste,"5 middle size garlic cloves, chopped","2 spring onion, white part and green part separated and chopped",2 teaspoons light soy sauce,"2 teaspoons cooking wine (if you do not have some, you can skin it)",2 teaspoons peanut oil,Boiled water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickling cucumbers salad,1 long fresh cucumber,2 teaspoons salt,2 teaspoons vinegar,2 teaspoons sesame oil,"3 garlic cloves, mashed","2 Thai chili peppers, chopped into small sections",1 teaspoon whole Sichuan peppercorns,2 teaspoons water,1 tablespoon peanut oil or other vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese five spicy pork roll,8 oz. pork belly,"3 spring onion, finely chopped","One small bunch of coriander, finely chopped",2 teaspoons Chinese five spice powder,1 and half cup high protein flour,1 tablespoon glutinous rice flour,1 teaspoon salt,1 cup of warm water,1 tablespoon oyster sauce,1 tablespoon light soy sauce,1 teaspoon Sichuan peppercorn powder,"3 garlic cloves, mashed",1 tablespoon sesame oil,3 fresh chili green peppers,1 tablespoon light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese oyster broccoli salad,1 middle size broccoli,3 drops of cooking oil,1 teaspoon salt,2 tablespoons oyster sauce,1 tablespoon light soy sauce,1 tablespoon water,1 teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dou chi fermented black beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sauteed small potatoes with salt and pepper,1 pound small potatoes,"2 spring onions, finely chopped",2 teaspoons salt and pepper,2 tablespoons peanuts oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy cauliflower stir fired with tomatoes,1 middle size cauliflower (or half of a large one),1 garlic sprout,1 middle size tomato,2 garlic cloves,2 spring onions,1 tablespoon cooking oil,2 tablespoons ketchup,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sauteed green peppers tiger skin pepper,6~10 long green peppers,6 garlic cloves,1 root ginger,2 spring onions,1 tablespoon cooking wine,2 teaspoons light soy sauce,2 teaspoons black vinegar,1 teaspoon salt,1 tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour pork with pineapple,½ lb. boneless pork meat,1 canned pineapple ring or half of a fresh pineapple,½ green bell pepper,½ red bell pepper,3 cups of Oil for deep frying,1 small bowl of cornstarch (for deep frying),1 egg,"1 root ginger, finely chopped","1 spring onion, finely chopped","1 garlic cloves, finely chopped",1 teaspoon salt,1 root ginger,1 spring onion white,1 tablespoon boiling hot water,2 tablespoons tomato ketchup,1 teaspoon sugar,2 tablespoons water,1 teaspoon cornstarch,2 teaspoons cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetarian wonton soup,½ cup of dried wood ear mushroom (soaked in clean water around 10 minutes firstly),1 small size broccoli,¼ box of fresh tofu,2 teaspoons salt,2 teaspoon sesame oil,4. OZ wonton wrappers (click here to make wonton wrappers at home),3 cups of water,One small piece of Dried nori,1 tablespoon chopped spring onions,½ teaspoon salt,2 teaspoons light soy sauce,severl drops of sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish fragrant tofu,"1 box of fresh or regular firm tofu, cut into small cubes.",2 spring onions (white part and green part separated),"1 garlic clove, finely chopped","1 root ginger, finely chopped","4~5 pickled chili peppers, cut into small sections",1 tablespoon starch,1 /2 tablespoon vinegar,1 tablespoon light soy sauce,1 tablespoon water,1 teaspoon sugar,2 teaspoons chili oil(you can replace it with sesame oil if you do not like spicy taste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bon bon chicken bang bang chicken,1 boneless chicken breast around 1 pound,2 slices of ginger,2 cups of water,1 section shallot,2 spring onions,1L cold water,2 teaspoons Sichuan peppercorn powder,2 tablespoons light soy sauce,1 tablespoon black vinegar,1 and ½ tablespoons sugar,2 tablespoons chili oil,1 tablespoon sesame oil,1 teaspoon salt,1 tablespoon chopped spring onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yu xiang rou si with black ear mushroom,2 tablespoons of dried ear mushrooms,½ pound pork tenderloin,1 small section of lettuce stem,1 fresh red pepper,1 fresh green pepper,6~10 pickled peppers (or replace with fresh long red peppers),"2 garlic cloves, chopped",1 inch root ginger sliced,2 spring onion white parts (cut into small sections),1 tablespoon chopped spring onion for garnish,2 tablespoons peanut oil,1 teaspoon starch,1 teaspoon salt,2 teaspoons cooking wine,1 tablespoon cornstarch,2 tablespoons cooking wine (you can replace it with dry sherry wine ),2 tablespoons light soy sauce,2 tablespoons black vinegar,2 teaspoons sugar,2 teaspoons salt,1 tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,
pig trotters soup with soy beans,2 Pig trotters (cut into small sections),1 oz yellow soy beans,2 green onions(finely chopped),3 pieces of ginger,1 tsb cooking wine,salt as needed,water as needed,2 teaspoons sesame oil,2 teaspoons chili oil,1 teaspoon salt,1 teaspoon vinegar,1 spring onion chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy ginger scallion noodles,½ pound fresh noodle or ¼ pound dried egg noodles,"1 root ginger, finely chopped",1 teaspoon soy sauce,1 teaspoon dark soy sauce,1 teaspoon salt,1 tablespoon chopped spring onion,"1 scallion, shredded (you can replace with cucumber or zucchini)",1 middle size purple onion,1 shallot,2 scallions,8 garlic cloves,2 cups peanut oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sichuan peppercorn chicken,3 tablespoons Sichuan peppercorn (green ones are best),4 chicken legs or 8.oz boneless chicken breast,3 tablespoons cooking oil for deep frying,1 round red pepper,1 scallion chopped,2 garlic cloves sliced,1 root ginger sliced,2 dried chili peppers,1 tablespoon cornstarch,1 teaspoon cooking wine,1 teaspoon salt,Half of egg white,2 teaspoons cornstarch,1 teaspoon cooking wine,1 teaspoon sesame oil,1 teaspoon salt,½ tablespoon light soy sauce,1 teaspoon cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese broccoli stir fry,1 pound of Chinese broccoli (Gai Lan),"2 garlic cloves, finely chopped",1 tablespoon cooking oil,"2 small chili peppers, finely chopped",½ teaspoon sesame oil,½ tablespoon cooking wine,2 teaspoons cornstarch,1 tablespoon water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy shrimp chow mein,200g fresh egg noodles or dried egg noodles (around ½ pound),2 cups of fresh shrimp or 1 cup of frozen prawn,2 tablespoons peanuts oil,1 green pepper sliced,"3 gloves garlic, minced",1 inch root ginger sliced,1 scallion sliced,1 tablespoon roasted peanuts,3~5 dried chili peppers,2 dashes black pepper powder,1 tablespoon chopped spring onions,1 tablespoon light soy sauce,2 teaspoons dark soy sauce,2 teaspoons sugar,1 teaspoon cornstarch,2 teaspoons black vinegar,1 teaspoon sesame oil,1 tablespoon chicken stock or water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed eggplants in garlic sauce,2 eggplants,1 middle size egg,100g ground pork,1 scallion,"1 inch root ginger,chopped",1 teaspoon black pepper powder,"2 spring onions,chopped",1 teaspoon salt,3 tablespoons water,1 middle size egg,2 tablespoons flour,1 tablespoon cornstarch,1 tablespoon water,1 teaspoon salt,½ egg,3 chili peppers,1 teaspoon salt,1 teaspoon sugar,½ tablespoon vinegar,½ tablespoon light soy sauce,2 teaspoons cooking wine,"3 garlic cloves,finely chopped","1 scallion,finely chopped",2 teaspoons cornstarch,1 tablespoon sesame oil,"1 inch ginger,chopped",,,,,,,,,,,,,,,,,,,,
sesame ginger dressing spinach,1 pound fresh spinach,1 teaspoon wolfberry or carrots,½ tablespoon sesame seeds,1 tablespoon chopped spring onion,1 inch root ginger minced,2 tablespoons boiled water or stock,1 tablespoon soy sauce,2 teaspoons salt,1 tablespoon sesame oil,2 teaspoons vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised spicy fish sichuan style,1 freshwater fresh,1 and ½ tablespoon doubanjiang,2 teaspoons dou-chi,1 tablespoon cooking oil,One green round pepper,One red round pepper,1 root ginger,2 garlic cloves,1 scallion,1 tablespoon cooking wine,1 tablespoon chopped spring onions,1 tablespoon cooking wine,2 teaspoons salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sugar buns,½ tablespoon peanuts oil for brushing,1 tablespoon flour,3 tablespoons brown sugar powder,½ tablespoon roasted sesame seeds,300g all-purpose flour,1 packet instant yeast = 2¼ teaspoons,2 tablespoons sugar,150g water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan fried tofu with sesame,1 box of regular firm tofu or extra firm tofu,1 tablespoon sesame seeds,½ tablespoon cumin powder,2 tablespoons salt,2 cups of water,1 teaspoon cooking oil (peanut oil),1 small bunch of coriander for decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kung pao shrimp kung pao prawn,16 ounces fresh shrimp or 8 oz. frozen prawn,3 tablespoons peanuts oil,1 green pepper sliced,"3 gloves garlic, minced",1 inch root ginger sliced,1 scallion sliced,1 tablespoon roasted peanuts,3~5 dried chili peppers,1 tablespoon light soy sauce,2 teaspoons dark soy sauce,2 teaspoons sugar,1 teaspoon cornstarch,2 teaspoons black vinegar,1 teaspoon sesame oil,1 tablespoon chicken stock or water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick fry bok choy,8 .oz bok Choy,2 garlic cloves,1 tablespoon cooking oil,1 dried chili pepper (optional),1 tablespoon oyster sauce,1teaspoon salt,1 teaspoon cornstarch,2 teaspoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tofu egg soup with tomatoes,2 tomatoes,Several ginger slices,One box of fresh tofu (around 8.OZ),"1 to 2 eggs, whisked",2 cups of water,2 teaspoons salt,½ tablespoon peanuts oil,Several drops of sesame oil,½ tablespoon chopped spring onions for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silkie chicken soup,Half of a whole silkie chicken around 8.oz,10 red dates,1 inch root ginger sliced,10 dried small shitake mushroom,1 small cup of wolfberry (optional),Salt as needed,Water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour chicken feet,10 oz. chicken feet,2 green onion roots,1 inch root ginger sliced,2 L ice cold water,1 inch root ginger sliced,2 red chili peppers,2 tablespoons rice wine or cooking wine,2 teaspoons salt,1 tablespoon white vinegar,1 tablespoon lime juice,2 tablespoons crystal sugar,1 cup of boiling water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watercress stir fry recipe,1 bunch watercress around 8 oz,2 garlic cloves,3 dried chili pepper,½ tablespoon peanut oil,1 teaspoon salt,2 teaspoons water,2 teaspoons cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mei fun rice noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot and sour soup,1 box of fresh tofu,4 dried shiitake mushroom,6 wood ear mushrooms,1 red chili pepper,1 ham sausage or chicken leg,2 middle size eggs beaten,3 spring onions chopped,4 corianders chopped,3 cups of water or stock,1 tablespoon black vinegar,1 tablespoon cooking wine,2 dashes black pepper powder,pinch of salt as needed,2 teaspoons sesame oil,½ tablespoon soy sauce,2 teaspoons cornstarch,2 teaspoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese purple sweet potato buns,Oil for brushing,200g all-purpose flour,½ packet instant yeast = 1 teaspoon,1 tablespoon sugar (optional),100g water,200g all-purpose flour,½ packet instant yeast = 1 teaspoon,1 tablespoon sugar,100g water,1 middle sized purple sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red braised pork belly,1 pound pork belly,1 tablespoon light soy sauce,½ tablespoon dark soy sauce,1tablespoon cooking wine,1 inch root ginger sliced,3 garlic cloves slices,4 star anise,Two cassia,10 dried chili peppers,1 teaspoon rock sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy pork soup with radish and corn,6oz pig bone,1 fresh corn,Half of middle size radish,Chopped spring onion,2 teaspoons salt,4 cups of water,1 inch root ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broccoli stir fry with garlic,1 middle size broccoli crown only cut into small pieces,1 small section of carrots cut into thin slices,2 teaspoons cooking oil,2 teaspoons salt,4 garlic cloves finely chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef chow mien,5 oz beef cut into thin slices,3 green peppers,1 tablespoon cooking oil,8oz fried egg noodles,2 cloves garlic sliced,Several drops of sesame oil,1 chili red pepper,1 teaspoon salt,½ tablespoon light soy sauce,1 teaspoon cumin powder,1 teaspoon salt,1 teaspoon cornstarch,1 teaspoon black pepper powder,1 teaspoon cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese steamed egg,3 middle size eggs,1 cup of water,1 teaspoon salt or to taste,2 teaspoons sesame oil,"1 spring onion,chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy potato wedges,3 middle size potato around 1 pound,2 teaspoons chili pepper powder,1 teaspoon Sichuan peppercorn powder,1 tablespoon cooking oil,2 teaspoons salt,1 teaspoon cumin powder,2 cloves garlic chopped,Chopped coriander for sprinkle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roasted beech mushrooms,1 cup of brown beech mushroom,1 cup of white beech mushroom,1 tablespoon cooking wine,2 teaspoons peanuts oil or other cooking oil,1 teaspoon dried chili pepper powder,2 teaspoons Chinese five spicy powder,2 teaspoons salt,1 tablespoon chopped coriander for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade red bean buns,1 cup of sweet red bean paste,300g all-purpose flour,1 packet instant yeast = 2¼ teaspoons,160g water or 20g more for adjustment,2 tablespoons sugar (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet red bean paste,220g dried red beans (around 8 .oz),water as needed for boiling (around 3 cups),2 cups of sugar,2 tbsp. butter or vegetable oil (28 to 30g),a tiny pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy stir fry shrimp,8oz fresh shrimp,3 red chili peppers,3 green chili peppers,2 garlic cloves chopped,2 teaspoons salt,1 tablespoon cooking oil,1 teaspoon light soy sauce,1 small bunch of chive cut into small sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet potatoes noodles,8oz fresh noodles (I use the wider ones),1 middle size sweet potatoes,½ middle size purple sweet potatoes,2 teaspoons cooking oil,3 cloves garlic chopped,1 teaspoon chopped white part of spring onion,Water as needed,2 teaspoons salt,1 teaspoon sesame oil,½ tablespoon light soy sauce,1 teaspoon finely chopped spring onion for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt and pepper tofu,16oz regular firm tofu,½ teaspoon black pepper powder (optional),2 teaspoons salt,1 tablespoon peanuts oil,1 teaspoon whole Sichuan peppercorn,1 teaspoon Sichuan peppercorn powder or 2 teaspoons Sichuan peppercorn salt,1 teaspoon chopped spring onion,"1 long red pepper, seed removed and cut into small pieces","2 garlic cloves, finely chopped",Coriander for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken fried rice,2 small bowls of leftover rice,½ pound boneless chicken chests or 2 chicken thighs,1 small fresh cucumber chopped,1 tablespoon cooking oil,Half of a middle size carrot chopped,1 teaspoon salt,1 teaspoon black pepper powder,1 teaspoon light soy sauce,1 teaspoon chopped spring onion for garnish,1 teaspoon salt,1 teaspoon corn starch,1 teaspoon cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom and cabbage stir fry,½ middle size cabbage (hand shredded into small pieces),10 button mushroom or white mushroom sliced,3 dried chili pepper,1 tablespoon cooking oil,2 cloves garlic chopped,One small bunch of chive cut into sections around 10 cm long,1 teaspoon salt,1 teaspoon white cooking wine,2 teaspoons soy sauce,1 teaspoon black vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork dumpling,250g dumpling wrapper,250g pork minced,"1 cup of celery,chopped",1 tablespoon of chopped ginger,3 teaspoons salt,1 teaspoon five spicy powders,½ tablespoon cooking wine,1 tablespoon sesame oil,1 tablespoon black vinegar,1 teaspoon chili oil,1 teaspoon chopped spring onion,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
general tso tofu,1 box firm tofu around 1 pound,1 small head of broccoli,6 dried chili pepper (cut into small section),"1 inch root ginger, chopped","3 garlic cloves, chopped",1 tablespoon cornstarch,3 cups of cooking oil,1 teaspoon sesame oil,1 teaspoon roasted sesame seeds,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 teaspoon chili oil,1 teaspoon sugar,1 teaspoon salt,2 teaspoons water or chicken stock,2 teaspoons cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shummai recipe,½ pound glutinous rice,½ pound mashed pork,1 tablespoon cooking oil,4 middle size shitake mushroom chopped,1 tablespoon green beans and corn,2 tablespoons chopped carrots,2 teaspoons salt,2 teaspoons light soy sauce,1 teaspoon five spicy powder,1 teaspoon black pepper powder,1 pound dumpling wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour pork,½ pound pork tenderloin,2 tablespoons cooking oil,oil for deep-frying,1 teaspoon white pepper powder,2 teaspoons cornstarch,1 inch root ginger,½ teaspoon salt,1 egg white,1 tablespoon water,1 tablespoon cornstarch,2 tablespoons tomato sauce,2 teaspoons vinegar (white vinegar for the color),1 teaspoon roasted sesame seeds,1 teaspoon salt,2 tablespoons water,1 teaspoon cornstarch,1 tablespoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegan baozichinese steamed buns,1 tablespoon cooking oil for brushing,300g all-purpose flour,1 packet instant yeast = 2¼ teaspoons,160g water,1 box of regular tofu,1 tablespoon chopped spring onions,1 teaspoon doubanjiang,1 garlic clove chopped,1 inch ginger chopped,1 teaspoon cooking oil,1 teaspoon salt,1 teaspoon light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shrimp and corn dumplings,Dumpling wrappers as needed,100g peeled prawns,100g sweet corn,1 teaspoon salt,½ teaspoon black pepper powder,1 tablespoon Laoganma Chili oil,1 teaspoon soy sauce,1 teaspoon chicken essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shummai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled shrimp,250 g fresh shrimps,2 teaspoons light soy sauce,2 teaspoons chili oil,1 scallion,1 tablespoon salt,1 teaspoon Sichuan peppercorn,4~6 star anise,2 pieces of cassia bark,1 tablespoon cooking wine,2L water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baozi how to fold baozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
general tso chicken,4~5 boneless chicken thighs (around 1 pound; cut into 2 cm cubes),6 dried chili pepper (cut into small section),"1 inch root ginger, chopped","3 garlic cloves, chopped",2 tablespoons cornstarch for coating,2 cups of cooking oil,1 teaspoon sesame oil,1 teaspoon roasted sesame seeds,1 egg white,pinch of salt,1 tablespoon cooking wine,½ tablespoon light soy sauce,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 teaspoon chili oil,1 teaspoon sugar,1 teaspoon salt,2 teaspoons water or chicken stock,2 teaspoons cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood ear mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken broccoli stir fry,2 chicken thighs,1 small head of broccoli,1 and ½ tablespoon cooking oil,1 inch ginger section sliced,2 cloves garlic sliced,2 teaspoons light soy sauce,1 small red chili pepper (optional),1 teaspoon salt,1 teaspoon starch,2 teaspoons cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised chicken wings,8 to 10 chicken wings (mid joint would be the best),1 teaspoon salt,½ tablespoon cooking wine (can be replaced by sherry),One small section ginger sliced(half for marinading and half for stir-frying),½ tablespoon vegetable oil,2 cloves garlic sliced,2 whole star anises,One small section of cinnamon,½ teaspoon Sichuan peppercorns,3 teaspoon light soy sauce,1 teaspoon dark soy sauce,1 teaspoon rock sugar,1 tablespoon chopped spring onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merry christmas christmas ring,4 middle size potatoes (peeled),1 large broccoli,1 tablespoon corn,1 tablespoon olive oil,3 teaspoons salt,1 teaspoon black pepper powder,2 teaspoons sesame oil,2 cherry tomatoes,2 little kumquats,3 crown daisy,2 walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stir fried beef with green peppers,"½ pound top sirloin, trimmed",3 long fresh green chili pepper and one long fresh red chili pepper,"½ scallions, white part thinly sliced",3 tablespoon cooking oil,"2 garlic cloves, minced","1 small piece of ginger, sliced",2 tablespoon cornstarch,½ tablespoon soy sauce,1 tablespoon rice wine or cooking wine,1 teaspoon black pepper powder,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese scallion pancakes,300g all-purpose flour,"150g hot water (20ml more if needed,see note 1)",1 tablespoon cooking oil,1 scallion thinly chopped,½ teaspoon salt,½ teaspoon five spice powders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork dry pot with white radish,500g pork belly,1 fresh white radish around 500g,2 teaspoons salt,30 g leek,1 tablespoon doubanjiang,3 long fresh chili peppers,3 garlic cloves,1 section root ginger,1 tablespoon cooking oil,3~5 dried chili peppers,1 teaspoon Sichuan peppercorn,1 teaspoon chopped red chili pepper,1 small bunch of coriander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetarian mapo tofu,450g regular tofu,6 middle size shitake mushroom (chopped into small pieces),1 tablespoon Doubanjiang (Broad bean paste),1-inch section shallot white,2 cloves garlic chopped,1 inch ginger sliced,1 teaspoon Sichuan peppercorn powder,1 tablespoon oil,1 teaspoon salt,1 tablespoon light soy sauces,½ cup water,salt to taste,1 tablespoon water,1 tablespoon starch (tapioca or corn starch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy grilled fish,1 whole fresh fish,10 Shitake mushroom,2~3 fresh chili peppers sliced,1 onion sliced,1 handful coriander,1 teaspoon cumin powder,1 teaspoon five spice powder,1 teaspoon chili powder,1 tablespoon doubanjiang(chili bean paste),1 tesaspoon Sichuan peppercorn,2 cloves garlic sliced,1 section of ginger sliced,1 tablespoon shallots sections,2 teaspoons Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork lo mien,150g Soft egg noodle,50 g pork chopped (pork belly is the best part),2 cloves garlic,1 small section ginger,1 small section scallion,1 round red pepper,Half of fresh cucumber,1 teaspoon light soy sauce,1 teaspoon dark soy sauce,Salt,1 tablespoon cooking oil,2 teaspoon salt,1 teaspoon sesame oil,1 teaspoon scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make chinese red oil,4 oz dried chili pepper,3~5 star anise,1 tablespoon roasted sesame seeds,2 teaspoons Sichuan peppercorn,1 inch cassia bark,1 inch root ginger sliced,2 cups--3 cups peanuts oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pot stickers chive and pork,1 package dumpling wrappers,1 small bunch of Chinese chive around 300g,500g ground pork (with some fat will be better),2 middle size eggs,1 inch root ginger,2 teaspoons vegetable cooking oil,2 teaspoons salt (or to taste),1 teaspoon white pepper powder (or to taste),1 tablespoon soy sauce,1 teaspoon chili oil (I use laoganma),1 teaspoon sesame oil,½ teaspoon salt,1 tablespoon stock or clean water,1 teaspoon roasted sesame seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment needed by hot pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home style tofu tofu stir fry recipe,1 block regular tofu,2 tablespoons cooking oil,1 cup carrots chopped,1 green chili pepper chopped,3 cloves garlic (chopped),2 ginger slices,1 scallions white part only chopped into rounds,1 tablespoon light soy sauce,1 tablespoon cooking wine,½ tablespoon soy sauce,½ tablespoon sugar,2 teaspoon doubanjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veggie fried rice,Half round red pepper,One long chili green pepper,Half coprinus comatus,Small section of purple sweet potatoes,½ tablespoon vegetable oil,1 small hand shallot (green part chopped),2 teaspoon soy sauce,½ teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken chow mien,1 tablespoon cooking oil,1 0z fresh noodle or one chunk of dried egg noodles,6 garlic cloves,2 chicken legs (you can also use chicken chests) remove the bones and cut into cubes.,"1 cup carrots, peeled and shredded",1 green chili pepper sliced,1 small section of ginger sliced,1 cup scallion chopped (optional),2 teaspoon light soy sauce,½ teaspoon salt,½ teaspoon ground black pepper,1 teaspoon starch (corn starch or sweet potato starch ),1 teaspoon cooking wine,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soup base for hot pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy chicken hot pot,"One pound chicken, add more chicken feet or wings or any other parts you like",2 tablespoon vegetable oil,2 large pig bones,1 tablespoon broad bean paste (Doubanjiang),1 teaspoon Sichuan Peppercorn,1 tablespoon dried chili pepper,Several star anises,Several chunks of cassia bark,½ teaspoon of fennel,Several cloves of garlic sliced,One small section of ginger sliced,3 teaspoon salt,Sesame oil,Chicken essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled peanuts recipe,500g peanuts,3 teaspoon salt,Several dried red chili pepper,Several star anises,One small chunk cassia bark,Clean water,1 teaspoon Sichuan peppercorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken mushroom soup 2,½ whole chicken,1 small section of ginger,1 oz fresh tea tree mushroom or 1 bunch of dried tea tree mushroom,2 teaspoons salt,1 teasppon wolfberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
