,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
pabda macher jhol,pabda mach  or catfish(fish),salt as per taste,turmeric powder,red chili powder,tomato (big),ginger paste,kalonji (kala zeera),cumin powder,red chili (dry),mustard oil,water,pabda mach  or catfish(fish),salt as per taste,turmeric powder,red chili powder,tomato (big),ginger paste,kalonji (kala zeera),cumin powder,red chili (dry),mustard oil,water,pabda mach  or catfish(fish),salt as per taste,turmeric powder,red chili powder,tomato (big),ginger paste,kalonji (kala zeera),cumin powder,red chili (dry),mustard oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koshimbir,beet root,cooking oil,mustard seeds,cumin or jeera seeds,asafetida powder or hing,green chillies,yogurt or dahi,sugar,salt,groundnut or peanut powder,coriander leaves,beet root,cooking oil,mustard seeds,cumin or jeera seeds,asafetida powder or hing,green chillies,yogurt or dahi,sugar,salt,groundnut or peanut powder,coriander leaves,beet root,cooking oil,mustard seeds,cumin or jeera seeds,asafetida powder or hing,green chillies,yogurt or dahi,sugar,salt,groundnut or peanut powder,coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheera,rava or semolina,water,ghee or clarified butter,drops of food color ( yellow),sugar,cashewnut for garnish,rava or semolina,water,ghee or clarified butter,drops of food color ( yellow),sugar,cashewnut for garnish,rava or semolina,water,ghee or clarified butter,drops of food color ( yellow),sugar,cashewnut for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roast tongue,large tongue,large piece of ginger chopped fine,garlic cloves chopped fine,cloves,peppercorn,limes,oil,large onion (chopped long in halves),garam masala,salt to taste,water,large tongue,large piece of ginger chopped fine,garlic cloves chopped fine,cloves,peppercorn,limes,oil,large onion (chopped long in halves),garam masala,salt to taste,water,large tongue,large piece of ginger chopped fine,garlic cloves chopped fine,cloves,peppercorn,limes,oil,large onion (chopped long in halves),garam masala,salt to taste,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato omlette,eggs,small potato,green pepper,pepper,salt to taste,cooking oil,coriander leaves for garnish,eggs,small potato,green pepper,pepper,salt to taste,cooking oil,coriander leaves for garnish,eggs,small potato,green pepper,pepper,salt to taste,cooking oil,coriander leaves for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef cutlets,minced beef,turmeric powder,pepper powder,coriander powder or dhania,coriander leaves chopped,garam masala,garlic cloves ( chopped fine),medium size piece of ginger ( chopped fine),small onion ( chopped fine),rava or semolina,cooking oil,salt to taste,egg,minced beef,turmeric powder,pepper powder,coriander powder or dhania,coriander leaves chopped,garam masala,garlic cloves ( chopped fine),medium size piece of ginger ( chopped fine),small onion ( chopped fine),rava or semolina,cooking oil,salt to taste,egg,minced beef,turmeric powder,pepper powder,coriander powder or dhania,coriander leaves chopped,garam masala,garlic cloves ( chopped fine),medium size piece of ginger ( chopped fine),small onion ( chopped fine),rava or semolina,cooking oil,salt to taste,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kolhapuri mutton,ginger garlic paste,salt,red chili powder,turmeric powder or haldi,star anise,cloves,mace,black cardomom,green cardomom,bay leaves,inch cinnamon stick,coriander seeds,poppy seeds or kus kus,sesame seeds,shahi jeera,cumin seeds,dried kashmiri red chilies,black pepper corns,cloves of garlic,curry leaves,coconut water,dry desiccated coconut,thinly sliced onion,finely chopped onion,oil,finely chopped fresh corriander leaves,regular dried red chillies,ginger garlic paste,salt,red chili powder,turmeric powder or haldi,star anise,cloves,mace,black cardomom,green cardomom,bay leaves,inch cinnamon stick,coriander seeds,poppy seeds or kus kus,sesame seeds,shahi jeera,cumin seeds,dried kashmiri red chilies,black pepper corns,cloves of garlic,curry leaves,coconut water,dry desiccated coconut,thinly sliced onion,finely chopped onion,oil,finely chopped fresh corriander leaves,regular dried red chillies,ginger garlic paste,salt,red chili powder,turmeric powder or haldi,star anise,cloves,mace,black cardomom,green cardomom,bay leaves,inch cinnamon stick,coriander seeds,poppy seeds or kus kus,sesame seeds,shahi jeera,cumin seeds,dried kashmiri red chilies,black pepper corns,cloves of garlic,curry leaves,coconut water,dry desiccated coconut,thinly sliced onion,finely chopped onion,oil,finely chopped fresh corriander leaves,regular dried red chillies,,,,,,,,,,,,
mudha pappu pulusu,chilagada dumpa(yams)-peeled and sliced 2 cm thick,drumsticks cut into 1.5 inch pieces,green chilies(depending on spice level),oil,tamarind paste,onions chopped,jaggery(bellam/gud) grated,cumin seeds,chana dal,urad dal,mustard seeds,garlic cloves,red chilies,salt as per taste,toor dal,curry leaves,chilagada dumpa(yams)-peeled and sliced 2 cm thick,drumsticks cut into 1.5 inch pieces,green chilies(depending on spice level),oil,tamarind paste,onions chopped,jaggery(bellam/gud) grated,cumin seeds,chana dal,urad dal,mustard seeds,garlic cloves,red chilies,salt as per taste,toor dal,curry leaves,chilagada dumpa(yams)-peeled and sliced 2 cm thick,drumsticks cut into 1.5 inch pieces,green chilies(depending on spice level),oil,tamarind paste,onions chopped,jaggery(bellam/gud) grated,cumin seeds,chana dal,urad dal,mustard seeds,garlic cloves,red chilies,salt as per taste,toor dal,curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paalakura thalimpu,"spinach,chop into pieces",tomatoes chopped,curry leaves stem,green  chilies(as per spice level),garlic cloves,salt to taste,turmeric or haldi,chana dal,urad dal,mustard seeds,cumin seeds or jeera,oil,"spinach,chop into pieces",tomatoes chopped,curry leaves stem,green  chilies(as per spice level),garlic cloves,salt to taste,turmeric or haldi,chana dal,urad dal,mustard seeds,cumin seeds or jeera,oil,"spinach,chop into pieces",tomatoes chopped,curry leaves stem,green  chilies(as per spice level),garlic cloves,salt to taste,turmeric or haldi,chana dal,urad dal,mustard seeds,cumin seeds or jeera,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pulla majjiga,dahi or yogurt or perugu,water,green chilies chopped,tamarind paste,salt as per taste,coriander leaves for garnish,jaggery grated,cumin seeds,mustard seeds,split yellow lentils (chana dal),urad dal,curry leaves stem,red chillies broken an inch long,oil,dahi or yogurt or perugu,water,green chilies chopped,tamarind paste,salt as per taste,coriander leaves for garnish,jaggery grated,cumin seeds,mustard seeds,split yellow lentils (chana dal),urad dal,curry leaves stem,red chillies broken an inch long,oil,dahi or yogurt or perugu,water,green chilies chopped,tamarind paste,salt as per taste,coriander leaves for garnish,jaggery grated,cumin seeds,mustard seeds,split yellow lentils (chana dal),urad dal,curry leaves stem,red chillies broken an inch long,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kodi guddu kurma,eggs,medium onions,medium tomatoes,cashews,green chilis,oil,ginger garlic paste,garam masala or egg masala,red chili powder (optional),turmeric powder,salt or as per taste,eggs,medium onions,medium tomatoes,cashews,green chilis,oil,ginger garlic paste,garam masala or egg masala,red chili powder (optional),turmeric powder,salt or as per taste,eggs,medium onions,medium tomatoes,cashews,green chilis,oil,ginger garlic paste,garam masala or egg masala,red chili powder (optional),turmeric powder,salt or as per taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mokkajonna vada,medium size corn(3 cups kernels),inch of ginger,green chilies,gramflour,red chili powder,rice flour,salt or as per taste,oil for deep fry,medium size corn(3 cups kernels),inch of ginger,green chilies,gramflour,red chili powder,rice flour,salt or as per taste,oil for deep fry,medium size corn(3 cups kernels),inch of ginger,green chilies,gramflour,red chili powder,rice flour,salt or as per taste,oil for deep fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobi manchurian,cauliflower florets,maida,corn flour,rice flour,spring onions or onions,garlic cloves,green chilies finely chopped,soy sauce,green chili sauce,tomato ketchup,corn starch,oil for frying,salt as per taste,eggs,ginger garlic paste,red chili powder,red peppers chopped,cauliflower florets,maida,corn flour,rice flour,spring onions or onions,garlic cloves,green chilies finely chopped,soy sauce,green chili sauce,tomato ketchup,corn starch,oil for frying,salt as per taste,eggs,ginger garlic paste,red chili powder,red peppers chopped,cauliflower florets,maida,corn flour,rice flour,spring onions or onions,garlic cloves,green chilies finely chopped,soy sauce,green chili sauce,tomato ketchup,corn starch,oil for frying,salt as per taste,eggs,ginger garlic paste,red chili powder,red peppers chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gongura chicken,chicken leg pieces,medium size onions,curry leaves stem,oil,garam masala powder,salt to taste,ginger garlic paste,turmeric powder,red chili powder,fresh sorrel leaves,green chilies (adjust to spice needed),fresh coriander leaves,fresh mint leaves,garam masala powder,chicken leg pieces,medium size onions,curry leaves stem,oil,garam masala powder,salt to taste,ginger garlic paste,turmeric powder,red chili powder,fresh sorrel leaves,green chilies (adjust to spice needed),fresh coriander leaves,fresh mint leaves,garam masala powder,chicken leg pieces,medium size onions,curry leaves stem,oil,garam masala powder,salt to taste,ginger garlic paste,turmeric powder,red chili powder,fresh sorrel leaves,green chilies (adjust to spice needed),fresh coriander leaves,fresh mint leaves,garam masala powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besan pooda,gram flour (besan),onion,jeera (cumin seeds),water,cooking oil,salt as per taste,gram flour (besan),onion,jeera (cumin seeds),water,cooking oil,salt as per taste,gram flour (besan),onion,jeera (cumin seeds),water,cooking oil,salt as per taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besan ladoo,gram flour (besan),castor sugar,ghee,cardamom powder,raisins,gram flour (besan),castor sugar,ghee,cardamom powder,raisins,gram flour (besan),castor sugar,ghee,cardamom powder,raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom risotto with peas,chicken or vegetable broth,shiitake mushrooms,olive oil,medium onion chopped,crimini mushrooms,garlic cloves chopped,arborio rice,dry champagne or dry white wine,frozen peas,aged parmesan,fresh ground black pepper per your taste,chicken or vegetable broth,shiitake mushrooms,olive oil,medium onion chopped,crimini mushrooms,garlic cloves chopped,arborio rice,dry champagne or dry white wine,frozen peas,aged parmesan,fresh ground black pepper per your taste,chicken or vegetable broth,shiitake mushrooms,olive oil,medium onion chopped,crimini mushrooms,garlic cloves chopped,arborio rice,dry champagne or dry white wine,frozen peas,aged parmesan,fresh ground black pepper per your taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vankaya kottimeera karam eggplant with coriander leaves,eggplant pieces,onions chopped,cilantro leaves,green chilies,1/2 inch ginger piece,grated coconut,chana dal,urad dal,mustard seeds,cumin seeds,curry leaves stem,turmeric,oil,eggplant pieces,onions chopped,cilantro leaves,green chilies,1/2 inch ginger piece,grated coconut,chana dal,urad dal,mustard seeds,cumin seeds,curry leaves stem,turmeric,oil,eggplant pieces,onions chopped,cilantro leaves,green chilies,1/2 inch ginger piece,grated coconut,chana dal,urad dal,mustard seeds,cumin seeds,curry leaves stem,turmeric,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed mushrooms,flour,butter,ajwain/carom seeds,dry basil,chili flakes,milk,cheddar cheese,salt,canned tuna,corn flakes,,,flour,butter,ajwain/carom seeds,dry basil,chili flakes,milk,cheddar cheese,salt,canned tuna,corn flakes,,,flour,butter,ajwain/carom seeds,dry basil,chili flakes,milk,cheddar cheese,salt,canned tuna,corn flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salted tongue,large beef tongue or veal tongue,rock salt or sea salt,salt petra,cloves,peppercorn,cinnamon stick,water,large beef tongue or veal tongue,rock salt or sea salt,salt petra,cloves,peppercorn,cinnamon stick,water,large beef tongue or veal tongue,rock salt or sea salt,salt petra,cloves,peppercorn,cinnamon stick,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawn pie,prawns,loaf slice bread ( white),coconut ( grated) or 250 grams grated coconut,jeera or cumin seeds,cloves,peppercorns,garlic cloves,small piece of ginger,dry red chillies or a tablespoon red chilli powder,small onion chopped,green chilli,sugar to taste,salt to taste,cornflour,maida or all purpose flour,ghee,eggs,prawns,loaf slice bread ( white),coconut ( grated) or 250 grams grated coconut,jeera or cumin seeds,cloves,peppercorns,garlic cloves,small piece of ginger,dry red chillies or a tablespoon red chilli powder,small onion chopped,green chilli,sugar to taste,salt to taste,cornflour,maida or all purpose flour,ghee,eggs,prawns,loaf slice bread ( white),coconut ( grated) or 250 grams grated coconut,jeera or cumin seeds,cloves,peppercorns,garlic cloves,small piece of ginger,dry red chillies or a tablespoon red chilli powder,small onion chopped,green chilli,sugar to taste,salt to taste,cornflour,maida or all purpose flour,ghee,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choris chilli fry,goan pork sausages or choris,large onion( chopped long),potato ( chopped in squares),cooking oil,green chilli (optional),water,goan pork sausages or choris,large onion( chopped long),potato ( chopped in squares),cooking oil,green chilli (optional),water,goan pork sausages or choris,large onion( chopped long),potato ( chopped in squares),cooking oil,green chilli (optional),water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinco de mango,"large ripe mangos, peeled, pitted and diced","medium jalapeno pepper, stemmed, de-seeded and minced",diced red bell pepper,diced onion,chopped fresh cilantro,fresh lime juice,olive oil,ground cumin or jeera,salt,"large ripe mangos, peeled, pitted and diced","medium jalapeno pepper, stemmed, de-seeded and minced",diced red bell pepper,diced onion,chopped fresh cilantro,fresh lime juice,olive oil,ground cumin or jeera,salt,"large ripe mangos, peeled, pitted and diced","medium jalapeno pepper, stemmed, de-seeded and minced",diced red bell pepper,diced onion,chopped fresh cilantro,fresh lime juice,olive oil,ground cumin or jeera,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato verusanaga pachadi,tomatoes chopped,peanuts,green  chilies(as per spice level),turmeric,tamarind paste,dry red chilies (split to halves),salt as per taste,oil,mustard seeds,cumin seeds,chana dal,urad dal,curry leaves stem,tomatoes chopped,peanuts,green  chilies(as per spice level),turmeric,tamarind paste,dry red chilies (split to halves),salt as per taste,oil,mustard seeds,cumin seeds,chana dal,urad dal,curry leaves stem,tomatoes chopped,peanuts,green  chilies(as per spice level),turmeric,tamarind paste,dry red chilies (split to halves),salt as per taste,oil,mustard seeds,cumin seeds,chana dal,urad dal,curry leaves stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atukula attu,white rice,atukulu/poha/flattened rice,dahi/perugu,fenugreek seeds,baking powder,salt,oil for frying pancake,white rice,atukulu/poha/flattened rice,dahi/perugu,fenugreek seeds,baking powder,salt,oil for frying pancake,white rice,atukulu/poha/flattened rice,dahi/perugu,fenugreek seeds,baking powder,salt,oil for frying pancake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava dosa,sooji/fine semolina/rava,rice flour,cumin seeds,"green chili,minced",salt,onions finely chopped,"carrot,grated","ginger,minced",sooji/fine semolina/rava,rice flour,cumin seeds,"green chili,minced",salt,onions finely chopped,"carrot,grated","ginger,minced",sooji/fine semolina/rava,rice flour,cumin seeds,"green chili,minced",salt,onions finely chopped,"carrot,grated","ginger,minced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aanapkaya bajji lauki bhartha,chopped bottle gourd pieces,finely chopped onion,ginger garlic paste,curry leaves stem,cumin seeds,mustard seeds,turmeric,green chilies minced,salt as per taste,oil,garam masala powder,chopped bottle gourd pieces,finely chopped onion,ginger garlic paste,curry leaves stem,cumin seeds,mustard seeds,turmeric,green chilies minced,salt as per taste,oil,garam masala powder,chopped bottle gourd pieces,finely chopped onion,ginger garlic paste,curry leaves stem,cumin seeds,mustard seeds,turmeric,green chilies minced,salt as per taste,oil,garam masala powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns moll,medium size prawns,red chilies (10 kashmiri and 10 local),turmeric powder,jeera powder,medium size garlic pod,inches of ginger,cloves,small stick of cinnamon,sugar (according to you taste),vinegar,oil,salt,curry leaves,medium size prawns,red chilies (10 kashmiri and 10 local),turmeric powder,jeera powder,medium size garlic pod,inches of ginger,cloves,small stick of cinnamon,sugar (according to you taste),vinegar,oil,salt,curry leaves,medium size prawns,red chilies (10 kashmiri and 10 local),turmeric powder,jeera powder,medium size garlic pod,inches of ginger,cloves,small stick of cinnamon,sugar (according to you taste),vinegar,oil,salt,curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
