,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Tomato Onion Raita,3/4 cup chopped tomatoes,1 cup chopped onions,1/2 tsp finely chopped green chillies,1/2 tsp cumin seeds (jeera) powder,2 cups whisked curds (dahi), salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Korma,1 cup grated fresh corn (makai ke dane),1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),2 green chillies, a pinch of asafoetida (hing),1/2 cup milk,1/2 tsp sugar, a few drops lemon juice,2 tsp oil, salt to taste,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajra, Rice and Sprouts Moong Puda",1/2 cup bajra (black millet) flour,1/2 cup rice flour (chawal ka atta),1/2 cup fresh whisked curds (dahi),1/2 cup sprouted moong (whole green gram),1 tbsp finely chopped green chillies,1/4 cup finely chopped coriander (dhania), salt to taste,1/4 tsp turmeric powder (haldi), oil for greasing and cooking, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Moong Dal and Palak Handvo,"1 cup green moong dal (split green gram) ,  soaked for 3 hours and drained",2 1/4 cups finely chopped spinach (palak),2 tbsp curds (dahi),1/4 tsp soda bi-carb,2 tbsp chopped coriander (dhania),2 tsp green chilli paste,1/2 tbsp lemon juice,1/2 tsp asafoetida (hing),2 tbsp oil, salt to taste,1 tsp mustard seeds ( rai / sarson),1/2 cup finely chopped onions,1 tsp sesame seeds (til), green chutney,,,,,,,,,,,,,,,,,,,,,,,,
Khandvi (  Faraal Recipe),1 cup arrowroot (paniphal) flour,1/4 cup rajgira flour,2 tsp ginger-green chilli paste, rock salt (sendha namak) to taste,1 cup curds (dahi),1/4 tsp oil for greasing,1 tbsp oil,1 tsp cumin seeds (jeera),1 tsp sesame seeds (til),5 to 6 curry leaves (kadi patta),2 tbsp finely chopped coriander (dhania),"2 tbsp freshly grated coconut , optional", green chutney,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Sprouts Dapka Kadhi,1 cup moong sprouts,2 tsp finely chopped green chillies,25 mm (1’) piece ginger (adrak), salt to taste, a pinch of asafoetida (hing),1/4 tsp turmeric powder (haldi),1 1/2 tbsp chopped coriander (dhania),1 1/2 tbsp chopped fenugreek (methi),2 tbsp besan (bengal gram flour), oil for deep-frying,3/4 cup fresh curds (dahi),2 tbsp besan (bengal gram flour),2 tsp ghee,1/4 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/2 tsp fenugreek (methi) seeds,25 mm (1”) stick cinnamon (dalchini),2 cloves (laung / lavang),6 curry leaves (kadi patta), a pinch asafoetida (hing), salt to taste,1 tsp green chilli paste,1/2 tsp turmeric powder (haldi),2 tsp sugar,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,
Moong Dal Pandoli ( Gujarati Recipe),1 cup moong dal (split  green gram),1/4 cup fresh curds (dahi),2 tsp ginger-green chilli paste, salt to taste,1 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),2 tsp fruit salt,2 tsp lemon juice, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrikhand, Kesar Elaichi Shrikhand",1 kg thick curds (dahi),3/4 cup powdered sugar, a few saffron (kesar) strands,1 tbsp warm milk,2 tsp cardamom (elaichi) powder, pistachio slivers, almond slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chola Dal Pudla,1 cup chola dal (split cow peas),1/4 cup finely chopped fenugreek (methi) leaves,1 1/2 tsp ginger-green chilli paste,1/4 tsp asafoetida (hing),1/2 tsp garlic (lehsun) paste, salt to taste,2 1/4 oil for greasing and cooking, healthy green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapka Kadhi ( Gujarati Recipe),1 recipe kadhi,1 cup yellow moong dal (split yellow gram),1/2 cup besan (bengal gram flour),1 tbsp oil,1 tsp ginger-green chilli paste,1/2 tsp sugar, a pinch of baking soda,1 tbsp finely chopped coriander (dhania), salt to taste, finely chopped coriander (dhania), rotlas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachko Dal ( Gujarati Recipe),1 cup toovar (arhar) dal,1 tbsp ghee,1/2 tsp cumin seeds (jeera),1/2 tsp turmeric powder (haldi),1 tbsp grated jaggery (gur), salt to taste, rice, ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuffed Khandvi ( Non- Fried Snacks ),1 tsp oil,"1/2 cup green peas ,  coarsely ground  or   boiled and crushed white corn (makai ke dane)",1/2 tsp sugar, salt to taste,1 tsp ginger-green chilli paste,1/2 tsp lemon juice,2 tbsp finely chopped coriander (dhania),1 cup besan (bengal gram flour),1 cup fresh curds (dahi) mixed with 1 1/2 cups of,2 to 3 drops of lemon juice,2 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi), a pinch of asafoetida (hing), salt to taste,1/4 tsp oil for greasing,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),5 to 6 curry leaves (kadi patta),1/2 tsp finely chopped green chillies  (optional),2 tbsp freshly grated coconut,2 tbsp finely chopped coriander (dhania),1/2 cup crumbled paneer (cottage cheese),1 tbsp schezuan sauce,,,,,,,,,,,,,
Methi Thepla Wrap,1/2 cup whole wheat flour (gehun ka atta),2 tbsp finely chopped fenugreek (methi) leaves,1/2 tbsp oil,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt to taste, whole wheat flour (gehun ka atta) for rolling, oil for kneading and cooking,1 cup boiled and peeled potato cubes,1 tbsp oil,1/4 tsp mustard seeds ( rai / sarson),1/8 tsp asafoetida (hing),1/2 tsp sesame seeds (til),4 to 5 curry leaves (kadi patta),1 tsp finely chopped green chillies,1/2 tsp turmeric powder (haldi),1/2 tsp lemon juice, salt to taste,1 tbsp finely chopped coriander (dhania),1/4 tsp chilli powder,2 tbsp readymade red chilli sauce,8 tbsp finely chopped spring onions  (including greens),8 tbsp bean sprouts,8 tbsp grated carrot,,,,,,,,,,,,,,
"Sugar Free Shrikhand, Low- Fat Kesar Elaichi Shrikhand",3/4 cup fresh hung low-fat curds (chakka dahi),1/4 tsp saffron (kesar) strands,1/4 tsp cardamom (elaichi) powder,"1 tbsp warm low-fat milk ,  99.7% fat-free",1 tsp sugar substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahiwali Toovar Dal,1/2 cup toovar (arhar) dal, salt to taste,1/2 tsp turmeric powder (haldi),1/2 tsp besan (bengal gram flour),1/2 cup low-fat curds (dahi),1 tsp cumin seeds (jeera),1/2 cup finely chopped onions,1 1/2 tsp chilli powder,2 tsp coriander (dhania) powder,1 tsp cumin seeds (jeera) powder,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fajeto ( Gujarati Recipe),1/4 cup fresh mango pulp,1 cup curds (dahi),1 tbsp besan (bengal gram flour),1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1 tbsp roughly chopped jaggery (gur), salt to taste,2 cups water,2 sticks cinnamon (dalchini),2 to 3 cloves (laung / lavang),1/4 tsp dried ginger powder,1 tbsp oil,3/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),2 to 3 small round red chillies (boriya mirch),1/4 tsp asafoetida (hing),6 to 8 curry leaves (kadi patta), rotlis, rice,,,,,,,,,,,,,,,,,,,
Khakhra ( Whole Wheat),1 cup whole wheat flour (gehun ka atta), salt to taste,1 tbsp oil, whole wheat flour (gehun ka atta) for rolling, ghee for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Fruit Gola ( Mumbai Roadside Recipes ),3 cups milk,1/2 cup sugar,3/4 cup grated mava (khoya),8 cups ice cubes,6 tbsp pineapple syrup  (readily available in the market),4 tbsp rose syrup  (readily available in the market),4 tbsp mixed fruit syrup  (readily available in the market),4 tbsp kala khatta syrup  (readily available in the market),4 tbsp kacchi kairi syrup  (readily available in the market),"6 tbsp chopped mixed nuts (cashewnuts      ,       raisins       ,       pistachio etc.)",6 tbsp grated mava (khoya),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methi Pudla,  Methi Pudla Using Whole Wheat Flour",3/4 cup finely chopped fenugreek (methi), salt to taste,1 cup whole wheat flour (gehun ka atta),2 tbsp besan (bengal gram flour),1/4 tsp turmeric powder (haldi),1 tsp garlic (lehsun) paste,1 tsp chilli powder,1/4 tsp asafoetida (hing),1 tsp sugar, oil for greasing and cooking, toasts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turai Aur Moong ki Dal,1/4 cup yellow moong dal (split yellow gram),2 cups  peeled and chopped ridge gourd (turai),1/4 cup  finely chopped onions,1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/4 tsp cumin seeds (jeera),  a pinch of asafoetida (hing),1 tsp chilli powder,1/4 tsp garam masala,1 tsp oil, salt to taste,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Wheat Methi Khakra,2 cups whole wheat flour (gehun ka atta),3/4 cup chopped fenugreek (methi) leaves,1 tbsp sesame seeds (til),1/4 tsp turmeric powder (haldi),1/4 tsp chilli powder, salt to taste,2 tsp oil, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-fried Chakli (100 Calorie Snacks),1 cup rice flour (chawal ka atta),1 1/2 tbsp low-fat butter,1 tbsp urad dal (split black lentil) flour,3/4 tsp ginger-green chilli paste,1/2 tsp garlic (lehsun) paste,1 tsp sugar, salt to taste,1/4 tsp oil for greasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Golkeri,1 cup raw mango cubes,1/4 tsp turmeric powder (haldi),1 cup  (150 grams) grated jaggery (gur),1 tbsp split mustard seeds (rai na kuria),1 tbsp split fenugreek seeds (methi na kuria),1 tbsp  roasted coriander (dhania) seeds,2 tsp chilli powder,2 tbsp mustard oil,1 tsp salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onion and Raw Mango Chunda,  Kaanda Aur Kairi ka Choonda",1/4 cup grated onions,3/4 cup peeled and grated raw mango,1 1/2 tbsp grated jaggery (gur),1/2 tsp roasted cumin seeds (jeera) powder,1/2 tsp chilli powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhindi Sambhariya,2 cups ladies finger (bhindi),1/4 cup oil,1/2 tsp asafoetida (hing),6 tbsp grated coconut,6 tbsp chopped coriander (dhania),3 tsp sugar,1 tsp ginger-green chilli paste,1 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp garam masala,1 tbsp sesame seeds (til),2 tbsp lemon juice,2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,
Gavarfali Bajra Dhokli ( Know Your Flours ),1/2 cup bajra (black millet) flour,1 tbsp whole wheat flour (gehun ka atta),1/2 tsp finely chopped garlic (lehsun),1 tbsp chopped coriander (dhania),1 tsp oil, salt to taste,1 tbsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp carom seeds (ajwain),"2 cups cluster beans (gavarfali) , cut into 25 mm.  (1"") pieces", salt to taste,1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/2 tsp sugar,,,,,,,,,,,,,,,,,,,,,,,,
Bhaat Na Rasawala Muthia ( Gujarati Recipe),4 cups cooked rice (chawal),1 cup besan (bengal gram flour),1/4 cup chopped coriander (dhania),2 tsp ginger-green chilli paste,1/2 tsp asafoetida (hing),1/2 tsp soda bi-carb,1/2 sp turmeric powder (haldi),1/2 tsp sugar  (optional),1/4 cup oil, salt to taste,3 tbsp oil,2 tsp mustard seeds ( rai / sarson),1/2 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1 tsp chilli powder, salt to taste,2 tbsp curds (dahi),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,
Muskmelon Drink with Cardamom,2 cups muskmelon (kharbooja) cubes,4 tbsp sugar,2 pinches cardamom (elaichi) powder,2 tsp lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nachni Sesame Khakhra ( Iron and Calcium Rich Recipe ),1/2 cup ragi (nachni / red millet) flour,1/2 cup whole wheat flour (gehun ka atta),2 tbsp roasted sesame seeds (til),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt to taste,2 1/4 tsp oil for kneading and cooking, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bateta Nu Shaak, Batata Nu Shaak",2 cups boiled peeled potato cubes,4 tbsp oil,1 tsp mustard seeds ( rai / sarson),4 tsp sesame seeds (til), a few curry leaves (kadi patta), a pinch of asafoetida (hing), salt to taste,1/2 tsp turmeric powder (haldi),4 tsp ginger-green chilli paste,1 tbsp lemon juice,1/4 cup finely chopped coriander (dhania), gujarati dal, rice,,,,,,,,,,,,,,,,,,,,,,,,,
Khatta Dhokla ( Quick Recipe ),2 cups readymade idli batter, salt to taste,1/4 tsp asafoetida (hing),2 tsp ginger green chilli paste,2 tbsp curds (dahi),2 tbsp rice flour (chawal ka atta),1 tbsp oil,1 tsp fruit salt,1 tsp coarsely crushed black pepper (kalimirch) powder, oil for greasing and smearing, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doodhi Muthia,2 cups grated bottle gourd (doodhi / lauki),1/2 cup grated onions,1 cup whole wheat flour (gehun ka atta),3/4 cup semolina (rava/sooji),1/2 cup besan (bengal gram flour),1/2 tbsp green chilli-ginger paste,1/2 tsp turmeric powder (haldi),1/2 tsp garam masala,1/2 tsp cumin seeds (jeera),2 tbsp sugar,2 tbsp chopped coriander (dhania),1/2 tsp baking soda,1/2 tsp asafoetida (hing),4 tbsp oil, oil for greasing, salt to taste,2 tbsp oil,1 tsp mustard seeds ( rai / sarson),2 tsp sesame seeds (til),1/4 tsp asafoetida (hing),2 tbsp chopped coriander (dhania), green chutney,,,,,,,,,,,,,,,,
Masoor Dal with Rice,5 tbsp masoor dal (split red lentil),2 tsp ghee,1 tsp cumin seeds (jeera),1/4 cup finely chopped onions,2 slit green chillies,1/2 cup chopped cauliflower,2 tbsp carrot cubes,1/4 tsp turmeric powder (haldi), salt to taste,1/2 cup tomato cubes,1 tbsp chopped coriander (dhania), brown rice  (chawal),,,,,,,,,,,,,,,,,,,,,,,,,,
"Peanut Curd Chutney, Faral Chutney",1 cup roasted and coarsely crushed peanuts,3/4 cup fresh curds (dahi),1 1/2 tsp ginger-green chill paste,1/2 tbsp lemon juice,1 tsp cumin seeds (jeera), rock salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooli Dhokli,2 cups shredded radish leaves (mooli ke patte),1/2 tsp cumin seeds (jeera),1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1 tbsp coriander (dhania) powder,1/2 tsp sugar,1 tsp oil, salt to taste,1/4 cup grated radish (mooli),3 tbsp besan (bengal gram flour),3 tbsp whole wheat flour (gehun ka aata),1/2 tsp coriander (dhania) powder,1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing),1/4 tsp carom seeds (ajwain),1 1/2 tsp oil, salt to taste, oil for greasing, chapatis,,,,,,,,,,,,,,,,,,
"Masala Bhaat, Microwave Maharashtrian Masala Bhaat",2 cloves (laung / lavang),1/2 of cinnamon (dalchini),1 tsp coriander (dhania) seeds,1 tsp cumin seeds (jeera),1/2 cup grated dry coconut (kopra),2 tbsp sesame seeds (til),1 cup long grained rice (basmati),"1 cup tendli (ivy gourd) , sliced horizontally",1/2 cup green peas,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),3 cardamoms,1/2 of cinnamon (dalchini),5 cloves (laung / lavang),1/4 tsp fenugreek (methi) seeds,2 green chillies,5 curry leaves (kadi patta),1/4 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1/2 cup grated fresh coconut,1/4 cup chopped coriander (dhania),"8 to 10 cashewnuts (kaju) , fried",1 tbsp ghee, salt to taste,,,,,,,,,,,,,,
Rasawala Chana ( Gujarati Recipe),"2 cups soaked and boiled kala chana (brown chick peas) , refer handy tip",2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1 1/2 tbsp besan (bengal gram flour),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,3/4 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp tamarind (imli) water,1 1/2 tbsp jaggery (gur), salt to taste,3 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuffed Bajra Roti ( Gluten Free Recipe ),2 cups bajra (black millet) flour, of salt, bajra (black millet) flour for rolling,3/4 cup crumbled low-fat paneer (cottage cheese),4 tbsp chopped fenugreek (methi) leaves,"2 slit green chillies , finely chopped",1/2 cup finely chopped tomatoes, salt to taste,2 tsp low-fat butter  (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Dal Dhokla (  Low Calorie Healthy Cooking),"1 cup green moong dal (split  green gram)  (split green gram) , soaked for 2 hours and drained",1 tbsp roughly chopped green chillies,2 tsp besan (bengal gram flour),2 tbsp finely chopped cabbage,2 tbsp finely chopped carrots,1 1/2 tbsp low-fat curds (dahi), a pinch of asafoetida (hing), salt to taste,1/2 tsp fruit salt, healthy green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Moong Dal Handvo,"1 cup green moong dal (split  green gram) , soaked in hot water for 2 hours and drained","1 cup chopped and boiled mixed vegetables ( french beans ,  carrot and green peas)",2 tbsp semolina (rava/sooji),1 tbsp besan (bengal gram flour),2 tbsp finely chopped coriander (dhania),1 tsp green chilli paste,1 tsp garlic (lehsun) paste,1/2 tsp ginger (adrak) paste, salt to taste,1 1/2 tsp fruit salt,3 tbsp oil,2 tsp mustard seeds ( rai / sarson),1/2 tsp carom seeds (ajwain),"2 whole Kashmiri red chillies ,  broken into pieces",2 tsp sesame seeds (til),1/2 tsp asafoetida (hing), green chutney,,,,,,,,,,,,,,,,,,,,,
Samo Khichdi,1 cup sanwa millet (sama),1 tbsp ghee,1/2 tsp cumin seeds (jeera),1/4 cup roasted and coarsely crushed peanuts,1 tsp finely chopped ginger (adrak),1 1/2 tsp finely chopped green chillies, rock salt to taste, rajgira kadhi / curds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jowar and Sesame Khakhra,2 cups jowar (white millet) flour,1/2 cup sesame seeds (til),2 1/2 tbsp oil,1 tbsp ginger- green chilli paste,1 tsp garlic (lehsun) paste,1/2 tbsp sugar,1 1/2 tsp salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palak Kofta Kadhi,1 cup chopped and blanched spinach (palak),1/4 cup besan (bengal gram flour),1/2 tsp chilli powder,1/2 tsp cumin seeds (jeera), a pinch soda bi-carb, salt to taste, oil for deep frying,1 cup curds (dahi),2 tbsp besan (bengal gram flour),1 tbsp oil,1 tsp cumin seeds (jeera),1 slit green chilli, a pinch of asafoetida (hing),5 curry leaves (kadi patta),1/2 cup sliced onions,1/2 tsp finely chopped garlic (lehsun),1/4 tsp turmeric powder (haldi), salt to taste,,,,,,,,,,,,,,,,,,,,
Strawberry Yoghurt ( Healthy Heart),1 cup hung low fat curds  (dahi),1/2 cup mashed strawberries,4 tsp powdered sugar,4 strawberry slices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Kand,12 steamed purple yam (kand) slices,1 cup boiled and coarsely crushed green peas,1 tbsp oil,2 tbsp finely chopped coriander (dhania),1 tsp lemon juice,1/2 tsp sugar,1 tsp green chilli paste, of asafoetida (hing), salt to taste,3/4 cup chopped coriander (dhania),"3 green chillies , roughly chopped",3 tbsp grated fresh coconut,3/4 tsp sugar,1/2 tbsp lemon juice, salt to taste,3/4 cup coconut milk,1 tsp cumin seeds (jeera),2 tbsp green chutney, of sugar,1 tsp ghee, salt to taste,,,,,,,,,,,,,,,,,
"Bajra Onion Muthia, Bajra Onion Kadhai Muthia",1 cup bajra (black millet) flour,1/2 cup finely chopped onions,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,2 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp ginger-green chilli paste,1/4 tsp sugar,2 tbsp chopped coriander (dhania),2 pinches of soda bi-carb, salt to taste,3 tsp oil for greasing and tempering,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),7 to 8 curry leaves (kadi patta),1/4 tsp asafoetida (hing),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
"Khatti Meethi Papdi, Dhokli Subzi, Valor Papdi Subzi",1/2 cup besan (bengal gram flour),2 tbsp low-fat curds (dahi),1/4 tsp chilli powder, a pinch of turmeric powder (haldi), salt to taste,"3 cups valor papdi , stringed and broken into 2 pieces",1/4 tsp turmeric powder (haldi),1 tsp chilli powder,2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp roughly chopped jaggery (gur), a pinch of asafoetida (hing), salt to taste, a pinch of carom seeds (ajwain),,,,,,,,,,,,,,,,,,,,,,,,,
Bajra Roti in Kadhi,1 cup bajra (black millet) flour,1/4 tsp garlic (lehsun) paste,1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1/2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp oil, salt to taste, bajra (black millet) flour for rolling,1 tbsp besan (bengal gram flour),1 cup fresh curds (dahi),2 tsp ghee,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1 tsp ginger-green chilli paste,"1 whole dry kashmiri red chilli , broken into pieces",3 curry leaves (kadi patta), salt to taste,1 tbsp sugar,,,,,,,,,,,,,,,,,,,
"Mooli Muthia, Gujarati Radish Muthia Snack Recipe",1 cup grated radish (mooli),1/4 cup chopped radish (mooli) leaves,1/2 cup besan (bengal gram flour),3/4 cup jowar (white millet) flour,2 tbsp curds (dahi),2 tbsp chopped coriander (dhania),1 tsp lemon juice,2 tsp ginger-green chilli paste,1/2 tsp garlic (lehsun) paste,1/2 tsp turmeric powder (haldi),1/2 tsp fruit salt, salt to taste,3 tsp oil,1 tsp cumin seeds (jeera),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing), green chutney,,,,,,,,,,,,,,,,,,,,,
Fada ni Khichdi ( Zero Oil Dal Chawal Recipe),1/2 cup broken wheat (dalia),1/4 cup yellow moong dal (split yellow gram),1 tsp cumin seeds (jeera),2 cloves (laung / lavang),2 cardamoms  (elaichi),1/2 cup sliced onions,1 tsp ginger-garlic (adrak-lehsun) paste,1/4 cup green peas,3/4 cup chopped tomatoes,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt to taste,1 cup low fat curds  (dahi) to serve,,,,,,,,,,,,,,,,,,,,,,,,,
